Florida Fish And Wildlife Conservation Commission
Commercial Landings Summary
Years: 2000 - 2020
"Species: CRAB, STONE, JUMBO CLAWS, CRAB, STONE, LARGE CLAWS, GROUPER, GAG, GROUPER, RED, MACKEREL, KING, MACKEREL, SPANISH, SHRIMP, PINK, SNAPPER, RED"
Subject to Revision
Years before 2019 are final
"Report created: August 26, 2020"


Year,Species,Month,Pounds,Trips,Average Price,Estimated Value,
2013,"CRAB, STONE, JUMBO CLAWS",April,12806,1423,20.63,264194,
2013,"CRAB, STONE, LARGE CLAWS",April,44743,1886,14.85,664338,
2013,"SHRIMP, PINK",April,645144,138,2.27,1466923,
2013,"GROUPER, GAG",May,135731,510,4.24,576165,
2013,"GROUPER, RED",May,487654,602,3.07,1494738,
2013,"MACKEREL, KING",May,229128,1176,3.27,749624,
2013,"MACKEREL, SPANISH",May,15582,262,1.13,17542,
2013,"SNAPPER, RED",May,188521,293,3.95,744767,
2013,"CRAB, STONE, JUMBO CLAWS",May,6111,849,20.78,126991,
2013,"CRAB, STONE, LARGE CLAWS",May,18499,1016,14.75,272863,
2013,"SHRIMP, PINK",May,621241,98,2.25,1398578,
2013,"GROUPER, GAG",June,79968,394,4.19,335192,
2013,"GROUPER, RED",June,312127,423,3.05,951889,
2013,"MACKEREL, KING",June,107888,841,3.56,383802,
2013,"MACKEREL, SPANISH",June,6166,205,1.31,8084,
2013,"SNAPPER, RED",June,109881,232,3.97,436341,
2013,"CRAB, STONE, JUMBO CLAWS",June,36,1,14.00,504,
2013,"CRAB, STONE, LARGE CLAWS",June,72,1,11.00,792,
2013,"SHRIMP, PINK",June,435043,83,2.61,1134385,
2013,"GROUPER, GAG",July,58525,314,4.19,245208,
2013,"GROUPER, RED",July,280444,388,3.15,882004,
2013,"MACKEREL, KING",July,110914,627,2.88,319571,
2013,"MACKEREL, SPANISH",July,2162,143,1.56,3377,
2013,"SNAPPER, RED",July,119616,214,3.91,468208,
2013,"SHRIMP, PINK",July,264188,53,2.13,561588,
2013,"GROUPER, GAG",August,48546,345,4.25,206548,
2013,"GROUPER, RED",August,313712,452,3.17,995136,
2013,"MACKEREL, KING",August,107676,800,2.13,229416,
2013,"MACKEREL, SPANISH",August,7251,241,1.34,9750,
2013,"SNAPPER, RED",August,179240,334,4.03,722698,
2013,"SHRIMP, PINK",August,149598,28,2.06,308512,
2013,"GROUPER, GAG",September,36673,298,4.12,151238,
2013,"GROUPER, RED",September,576975,425,3.05,1757650,
2013,"MACKEREL, KING",September,104370,668,2.61,272804,
2013,"MACKEREL, SPANISH",September,44764,505,1.10,49350,
2013,"SNAPPER, RED",September,162727,441,4.17,678494,
2013,"CRAB, STONE, JUMBO CLAWS",September,92,8,16.05,1477,
2013,"CRAB, STONE, LARGE CLAWS",September,92,8,15.58,1433,
2013,"SHRIMP, PINK",September,186584,29,2.65,495348,
2013,"GROUPER, GAG",October,39831,325,4.20,167472,
2013,"GROUPER, RED",October,553037,433,2.90,1603774,
2013,"MACKEREL, KING",October,69491,451,3.15,219230,
2013,"MACKEREL, SPANISH",October,443392,1427,0.68,300082,
2013,"SNAPPER, RED",October,247912,345,3.78,936862,
2013,"CRAB, STONE, JUMBO CLAWS",October,55709,2133,18.28,1018084,
2013,"CRAB, STONE, LARGE CLAWS",October,127565,2515,14.44,1841454,
2013,"SHRIMP, PINK",October,224552,27,2.90,651141,
2013,"GROUPER, GAG",November,22620,182,4.17,94401,
2013,"GROUPER, RED",November,348846,283,2.87,999870,
2013,"MACKEREL, KING",November,12497,99,2.92,36516,
2013,"MACKEREL, SPANISH",November,203262,751,1.18,240592,
2013,"SNAPPER, RED",November,189891,173,3.28,623260,
2013,"CRAB, STONE, JUMBO CLAWS",November,53503,2616,21.00,1123426,
2013,"CRAB, STONE, LARGE CLAWS",November,139008,3176,16.73,2325881,
2013,"SHRIMP, PINK",November,479148,56,2.86,1369671,
2013,"GROUPER, GAG",December,80657,347,4.04,325693,
2013,"GROUPER, RED",December,721323,469,2.96,2135478,
2013,"MACKEREL, KING",December,326396,930,2.67,871568,
2013,"MACKEREL, SPANISH",December,548026,1464,1.11,608706,
2013,"SNAPPER, RED",December,406414,361,3.14,1274700,
2013,"CRAB, STONE, JUMBO CLAWS",December,43318,2629,22.98,995650,
2013,"CRAB, STONE, LARGE CLAWS",December,128334,3253,17.52,2247808,
2013,"SHRIMP, PINK",December,878323,106,2.79,2448736,
2014,"GROUPER, GAG",January,39578,173,4.22,167090,
2014,"GROUPER, RED",January,389989,187,3.10,1207818,
2014,"MACKEREL, KING",January,1105799,1160,1.47,1621179,
2014,"MACKEREL, SPANISH",January,608102,1590,1.00,607464,
2014,"SNAPPER, RED",January,137647,164,3.63,499963,
2014,"CRAB, STONE, JUMBO CLAWS",January,24570,2190,23.90,587278,
2014,"CRAB, STONE, LARGE CLAWS",January,92086,2608,18.29,1684603,
2014,"SHRIMP, PINK",January,833390,93,2.74,2279898,
2014,"GROUPER, GAG",February,85806,330,4.15,355796,
2014,"GROUPER, RED",February,619193,380,3.16,1956853,
2014,"MACKEREL, KING",February,515438,1134,1.62,834424,
2014,"MACKEREL, SPANISH",February,631377,1681,0.79,496343,
2014,"SNAPPER, RED",February,240990,284,3.72,896462,
2014,"CRAB, STONE, JUMBO CLAWS",February,18942,2004,24.09,456302,
2014,"CRAB, STONE, LARGE CLAWS",February,80188,2431,18.87,1512856,
2014,"SHRIMP, PINK",February,734210,107,3.40,2495220,
2014,"GROUPER, GAG",March,63532,272,4.15,263840,
2014,"GROUPER, RED",March,610466,323,3.21,1961896,
2014,"MACKEREL, KING",March,114885,623,3.01,346044,
2014,"MACKEREL, SPANISH",March,375450,1212,1.28,480543,
2014,"SNAPPER, RED",March,255754,244,3.89,993924,
2014,"CRAB, STONE, JUMBO CLAWS",March,14574,1736,24.21,352897,
2014,"CRAB, STONE, LARGE CLAWS",March,76494,2138,18.01,1377653,
2014,"SHRIMP, PINK",March,1081923,213,3.08,3337434,
2014,"GROUPER, GAG",April,70714,334,4.19,296575,
2014,"GROUPER, RED",April,663946,408,3.23,2144725,
2014,"MACKEREL, KING",April,263791,1298,3.20,842911,
2014,"MACKEREL, SPANISH",April,88681,708,1.70,150641,
2014,"SNAPPER, RED",April,248068,289,3.88,963373,
2014,"CRAB, STONE, JUMBO CLAWS",April,12422,1602,23.71,294563,
2014,"CRAB, STONE, LARGE CLAWS",April,59224,1929,17.59,1041900,
2014,"SHRIMP, PINK",April,906946,234,3.16,2866207,
2014,"GROUPER, GAG",May,123142,593,4.30,530033,
2014,"GROUPER, RED",May,772346,622,3.09,2388698,
2014,"MACKEREL, KING",May,341889,1516,2.67,912021,
2014,"MACKEREL, SPANISH",May,6062,232,2.11,12781,
2014,"SNAPPER, RED",May,228924,328,3.92,897883,
2014,"CRAB, STONE, JUMBO CLAWS",May,4319,702,23.72,102440,
2014,"CRAB, STONE, LARGE CLAWS",May,17990,846,17.79,320051,
2014,"SHRIMP, PINK",May,803597,301,3.01,2422485,
2014,"GROUPER, GAG",June,95631,491,4.27,408186,
2014,"GROUPER, RED",June,483335,581,3.06,1481040,
2014,"MACKEREL, KING",June,79023,791,3.23,255286,
2014,"MACKEREL, SPANISH",June,2425,119,1.83,4427,
2014,"SNAPPER, RED",June,165759,256,3.97,657255,
2014,"SHRIMP, PINK",June,833551,110,2.81,2346265,
2014,"GROUPER, GAG",July,56117,422,4.23,237339,
2014,"GROUPER, RED",July,428016,508,3.16,1352413,
2014,"MACKEREL, KING",July,122186,798,2.32,283568,
2014,"MACKEREL, SPANISH",July,4175,114,2.07,8628,
2014,"SNAPPER, RED",July,145845,514,4.14,603244,
2014,"SHRIMP, PINK",July,368408,66,3.38,1244379,
2014,"GROUPER, GAG",August,42670,334,4.24,180737,
2014,"GROUPER, RED",August,401595,467,3.20,1285763,
2014,"MACKEREL, KING",August,100827,836,2.20,221519,
2014,"MACKEREL, SPANISH",August,2285,165,1.62,3699,
2014,"SNAPPER, RED",August,124367,591,3.96,492297,
2014,"SHRIMP, PINK",August,271290,48,2.57,697591,
2014,"GROUPER, GAG",September,31307,265,4.25,132908,
2014,"GROUPER, RED",September,636369,430,3.26,2072529,
2014,"MACKEREL, KING",September,107096,626,2.43,259835,
2014,"MACKEREL, SPANISH",September,40190,410,1.14,45745,
2014,"SNAPPER, RED",September,160713,376,4.04,649599,
2014,"CRAB, STONE, JUMBO CLAWS",September,56,3,25.59,1438,
2014,"CRAB, STONE, LARGE CLAWS",September,109,3,19.24,2102,
2014,"SHRIMP, PINK",September,299422,35,2.70,807229,
2014,"GROUPER, GAG",October,56936,329,4.33,246636,
2014,"GROUPER, RED",October,640814,467,3.22,2066363,
2014,"MACKEREL, KING",October,153163,820,2.37,362954,
2014,"MACKEREL, SPANISH",October,231735,1187,1.28,296056,
2014,"SNAPPER, RED",October,175305,276,3.93,689075,
2014,"CRAB, STONE, JUMBO CLAWS",October,57460,2393,22.38,1286129,
2014,"CRAB, STONE, LARGE CLAWS",October,145176,2770,18.08,2624436,
2014,"SHRIMP, PINK",October,577973,62,3.14,1814861,
2014,"GROUPER, GAG",November,49644,192,4.15,205953,
2014,"GROUPER, RED",November,353455,283,3.32,1171729,
2014,"MACKEREL, KING",November,100177,394,2.80,280020,
2014,"MACKEREL, SPANISH",November,389674,1202,1.17,456423,
2014,"SNAPPER, RED",November,103926,160,3.66,380593,
2014,"CRAB, STONE, JUMBO CLAWS",November,53882,2534,22.39,1206472,
2014,"CRAB, STONE, LARGE CLAWS",November,135136,3025,16.66,2251112,
2014,"SHRIMP, PINK",November,564723,70,2.45,1385150,
2014,"GROUPER, GAG",December,81340,361,4.29,348818,
2014,"GROUPER, RED",December,644757,540,3.36,2169533,
2014,"MACKEREL, KING",December,639191,1542,1.61,1031540,
2014,"MACKEREL, SPANISH",December,630861,1494,0.86,541994,
2014,"SNAPPER, RED",December,171307,299,3.76,644110,
2014,"CRAB, STONE, JUMBO CLAWS",December,46295,2493,23.03,1066096,
2014,"CRAB, STONE, LARGE CLAWS",December,115047,3007,16.84,1936953,
2014,"SHRIMP, PINK",December,1096251,112,2.23,2445558,
2015,"GROUPER, GAG",January,46582,212,4.26,198347,
2015,"GROUPER, RED",January,417647,256,3.39,1415234,
2015,"MACKEREL, KING",January,443380,1003,1.74,770163,
2015,"MACKEREL, SPANISH",January,439022,1011,1.01,444926,
2015,"SNAPPER, RED",January,173867,209,3.89,676995,
2015,"CRAB, STONE, JUMBO CLAWS",January,38084,2311,23.38,890397,
2015,"CRAB, STONE, LARGE CLAWS",January,105151,2771,17.27,1815698,
2015,"SHRIMP, PINK",January,664315,133,2.57,1706950,
2015,"GROUPER, GAG",February,47853,199,4.32,206607,
2015,"GROUPER, RED",February,440256,245,3.40,1497813,
2015,"MACKEREL, KING",February,721747,722,1.39,1003457,
2015,"MACKEREL, SPANISH",February,370031,826,1.24,459185,
2015,"SNAPPER, RED",February,174604,184,3.90,680554,
2015,"CRAB, STONE, JUMBO CLAWS",February,21683,1869,23.49,509394,
2015,"CRAB, STONE, LARGE CLAWS",February,76594,2270,16.81,1287444,
2015,"SHRIMP, PINK",February,804587,251,2.65,2128385,
2015,"GROUPER, GAG",March,85839,297,4.40,377503,
2015,"GROUPER, RED",March,687883,364,3.41,2344469,
2015,"MACKEREL, KING",March,490440,1609,2.51,1230575,
2015,"MACKEREL, SPANISH",March,328845,991,1.26,415829,
2015,"SNAPPER, RED",March,237397,282,3.86,915865,
2015,"CRAB, STONE, JUMBO CLAWS",March,27073,2266,23.13,626093,
2015,"CRAB, STONE, LARGE CLAWS",March,90414,2753,16.48,1489595,
2015,"SHRIMP, PINK",March,958853,232,2.47,2370122,
2015,"GROUPER, GAG",April,59671,292,4.26,254341,
2015,"GROUPER, RED",April,661986,394,3.40,2251058,
2015,"MACKEREL, KING",April,212645,1100,2.62,556364,
2015,"MACKEREL, SPANISH",April,65528,587,1.55,101489,
2015,"SNAPPER, RED",April,188294,272,4.12,775439,
2015,"CRAB, STONE, JUMBO CLAWS",April,23550,1947,22.90,539276,
2015,"CRAB, STONE, LARGE CLAWS",April,79705,2347,16.24,1294183,
2015,"SHRIMP, PINK",April,686114,220,2.78,1904199,
2015,"GROUPER, GAG",May,110990,445,4.46,494771,
2015,"GROUPER, RED",May,485919,526,3.25,1580910,
2015,"MACKEREL, KING",May,200863,1065,3.24,650912,
2015,"MACKEREL, SPANISH",May,2359,161,1.72,4059,
2015,"SNAPPER, RED",May,234062,271,3.89,909592,
2015,"CRAB, STONE, JUMBO CLAWS",May,10895,993,22.65,246750,
2015,"CRAB, STONE, LARGE CLAWS",May,35404,1167,15.98,565660,
2015,"SHRIMP, PINK",May,652924,163,2.55,1663987,
2015,"GROUPER, GAG",June,106486,448,4.46,474893,
2015,"GROUPER, RED",June,394660,534,3.36,1324464,
2015,"MACKEREL, KING",June,71319,826,3.74,266395,
2015,"MACKEREL, SPANISH",June,2564,164,2.40,6150,
2015,"SNAPPER, RED",June,251108,281,4.03,1012878,
2015,"SHRIMP, PINK",June,581801,99,2.62,1525774,
2015,"GROUPER, GAG",July,58478,295,4.57,267466,
2015,"GROUPER, RED",July,272225,419,3.32,903853,
2015,"MACKEREL, KING",July,93528,898,2.50,233824,
2015,"MACKEREL, SPANISH",July,1796,118,3.20,5746,
2015,"SNAPPER, RED",July,184653,224,4.15,765501,
2015,"SHRIMP, PINK",July,514334,99,2.12,1090727,
2015,"GROUPER, GAG",August,44918,292,4.42,198699,
2015,"GROUPER, RED",August,345988,472,3.33,1152269,
2015,"MACKEREL, KING",August,139209,964,2.50,347624,
2015,"MACKEREL, SPANISH",August,2910,149,2.11,6146,
2015,"SNAPPER, RED",August,220921,277,3.77,832497,
2015,"SHRIMP, PINK",August,276297,62,2.04,562572,
2015,"GROUPER, GAG",September,23734,236,4.36,103410,
2015,"GROUPER, RED",September,586778,385,3.35,1964134,
2015,"MACKEREL, KING",September,73290,596,2.66,195215,
2015,"MACKEREL, SPANISH",September,63227,412,1.20,76137,
2015,"SNAPPER, RED",September,241830,239,3.39,818988,
2015,"CRAB, STONE, JUMBO CLAWS",September,111,1,7.50,833,
2015,"CRAB, STONE, LARGE CLAWS",September,450,2,12.00,5400,
2015,"SHRIMP, PINK",September,123074,56,2.78,342248,
2015,"GROUPER, GAG",October,27438,192,4.42,121173,
2015,"GROUPER, RED",October,387939,331,3.24,1258533,
2015,"MACKEREL, KING",October,124497,483,2.53,314728,
2015,"MACKEREL, SPANISH",October,205061,909,1.22,250337,
2015,"SNAPPER, RED",October,196244,243,3.54,693959,
2015,"CRAB, STONE, JUMBO CLAWS",October,105058,2393,22.10,2321318,
2015,"CRAB, STONE, LARGE CLAWS",October,188245,2609,17.27,3251077,
2015,"SHRIMP, PINK",October,551968,73,1.55,853699,
2015,"GROUPER, GAG",November,48789,233,4.37,213334,
2015,"GROUPER, RED",November,409000,356,3.25,1328812,
2015,"MACKEREL, KING",November,161661,610,1.87,302322,
2015,"MACKEREL, SPANISH",November,321545,1012,1.09,351381,
2015,"SNAPPER, RED",November,235957,262,3.44,812844,
2015,"CRAB, STONE, JUMBO CLAWS",November,112174,2882,17.17,1926226,
2015,"CRAB, STONE, LARGE CLAWS",November,216724,3286,13.19,2858997,
2015,"SHRIMP, PINK",November,783001,112,1.91,1492268,
2015,"GROUPER, GAG",December,83650,428,4.36,364771,
2015,"GROUPER, RED",December,588788,558,3.30,1945416,
2015,"MACKEREL, KING",December,354043,990,2.11,747041,
2015,"MACKEREL, SPANISH",December,502176,1344,1.10,554473,
2015,"SNAPPER, RED",December,375042,374,3.40,1273618,
2015,"CRAB, STONE, JUMBO CLAWS",December,86226,2879,16.11,1389406,
2015,"CRAB, STONE, LARGE CLAWS",December,182663,3277,11.95,2183250,
2015,"SHRIMP, PINK",December,811703,132,2.03,1645944,
2016,"GROUPER, GAG",January,40434,180,4.37,176581,
2016,"GROUPER, RED",January,204528,243,3.40,694558,
2016,"MACKEREL, KING",January,297664,925,2.49,741259,
2016,"MACKEREL, SPANISH",January,517563,1014,1.11,572046,
2016,"SNAPPER, RED",January,182392,218,3.59,655691,
2016,"CRAB, STONE, JUMBO CLAWS",January,49891,2299,16.52,824220,
2016,"CRAB, STONE, LARGE CLAWS",January,127440,2698,11.87,1512540,
2016,"SHRIMP, PINK",January,627615,104,2.24,1404877,
2016,"GROUPER, GAG",February,162818,327,4.44,723381,
2016,"GROUPER, RED",February,680202,339,3.43,2330655,
2016,"MACKEREL, KING",February,887969,1077,1.52,1353348,
2016,"MACKEREL, SPANISH",February,607632,1008,0.87,526471,
2016,"SNAPPER, RED",February,262690,326,3.74,983463,
2016,"CRAB, STONE, JUMBO CLAWS",February,37647,2037,15.55,585553,
